,Winner,Team_1_Position,Team_2_Position,Team_1_Afghanistan,Team_1_Australia,Team_1_Bangladesh,Team_1_England,Team_1_India,Team_1_Netherlands,Team_1_New Zealand,Team_1_Pakistan,Team_1_South Africa,Team_1_Sri Lanka,Team_2_Afghanistan,Team_2_Australia,Team_2_Bangladesh,Team_2_England,Team_2_India,Team_2_Netherlands,Team_2_New Zealand,Team_2_Pakistan,Team_2_South Africa,Team_2_Sri Lanka
124,South Africa,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
125,India,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
126,India,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
127,Australia,2,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
128,Australia,2,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
129,Australia,2,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
130,New Zealand,5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
131,Afghanistan,7,9,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
132,Sri Lanka,7,9,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
133,Bangladesh,8,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
134,Bangladesh,8,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
135,India,8,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
137,India,1,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
139,India,1,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
140,India,1,7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
141,India,1,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
142,India,1,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
143,India,1,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
144,South Africa,3,6,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
145,South Africa,3,6,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
146,England,3,6,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
147,England,8,6,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
148,England,8,6,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
149,Bangladesh,8,6,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
150,India,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
151,Australia,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
152,Australia,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
153,New Zealand,5,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
154,South Africa,3,10,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
155,New Zealand,5,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
161,Afghanistan,7,9,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
162,Sri Lanka,7,9,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
163,Sri Lanka,7,9,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
164,Sri Lanka,10,7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
165,Afghanistan,8,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
166,Afghanistan,8,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
167,Sri Lanka,10,7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
168,Bangladesh,8,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
172,Sri Lanka,7,8,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
173,Bangladesh,9,8,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
174,Sri Lanka,9,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
