Team_1,Team_2,Winner,Ground,1
Australia,South Africa,South Africa,Old Trafford,482
India ,New Zealand,New Zealand,Old Trafford,483
England ,Australia,England,Edgbaston,484
England,New Zealand,England,Lord's,485
Sri Lanka,Bangladesh,Sri Lanka,R Premadasa Stadium,486
Sri Lanka,Bangladesh,Sri Lanka,R Premadasa Stadium,487
Sri Lanka,Bangladesh,Sri Lanka,R Premadasa Stadium,488
West Indies,India,No result,Providence Stadium,489
West Indies,India,India,Queen's Park Oval,490
West Indies,India,India,Queen's Park Oval,491
Pakistan,Sri Lanka,Match abandoned,National Stadium (Karachi),492
Pakistan,Sri Lanka,Pakistan,National Stadium (Karachi),493
Pakistan,Sri Lanka,Pakistan,National Stadium (Karachi),494
Afghanistan,West Indies,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,495
Afghanistan,West Indies,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,496
Afghanistan,West Indies,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,497
India,West Indies,West Indies,MA Chidambaram Stadium,498
India,West Indies,India,Dr YS Rajasekhara Reddy Cricket Stadium,499
India,West Indies,India,Barabati Stadium,500
India,Australia,India,Saurashtra Cricket Association Stadium,501
India,Australia,India,M Chinnaswamy Stadium,502
South Africa,England,South Africa,Newlands,503
New Zealand,India,New Zealand,Seddon Park,504
South Africa,England,No result,Kingsmead,505
New Zealand,India,New Zealand,Eden Park,506
South Africa,England,England,Wanderers Stadium,507
New Zealand,India,New Zealand,Bay Oval,508
Sri Lanka,West Indies,Sri Lanka,Sinhalese Sports Club Ground,509
Sri Lanka,West Indies,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,510
South Africa,Australia,South Africa,Boland Park,511
Bangladesh,Zimbabwe,Bangladesh,Sylhet Stadium,512
Sri Lanka,West Indies,Sri Lanka,Pallekele International Cricket Stadium,513
Bangladesh,Zimbabwe,Bangladesh,Sylhet Stadium,514
South Africa,Australia,South Africa,Mangaung Oval,515
Bangladesh,Zimbabwe,Bangladesh,Sylhet Stadium,516
South Africa,Australia,South Africa,Senwes Park,517
India,South Africa,Match abandoned,Himachal Pradesh Cricket Association Stadium,518
Australia,New Zealand,Australia,Sydney Cricket Ground,519
India,South Africa,Match abandoned,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,520
India,South Africa,Match abandoned,Eden Gardens,521
England,Ireland,England,The Rose Bowl,522
England,Ireland,England,The Rose Bowl,523
England,Ireland,Ireland,The Rose Bowl,524
England,Australia,Australia,Old Trafford,525
England,Australia,England,Old Trafford,526
England,Australia,Australia,Old Trafford,527
Pakistan,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,528
Pakistan,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,529
Australia,India,Australia,Sydney Cricket Ground,530
Australia,India,Australia,Sydney Cricket Ground,531
Australia,India,India,Manuka Oval,532
Bangladesh,West Indies,Bangladesh,Shere Bangla National Stadium,533
Afghanistan,Ireland,Afghanistan,Sheikh Zayed Stadium,534
Bangladesh,West Indies,Bangladesh,Shere Bangla National Stadium,535
Afghanistan,Ireland,Afghanistan,Sheikh Zayed Stadium,536
Afghanistan,Ireland,Afghanistan,Sheikh Zayed Stadium,537
West Indies,Sri Lanka,West Indies,Sir Vivian Richards Stadium,538
West Indies,Sri Lanka,West Indies,Sir Vivian Richards Stadium,539
West Indies,Sri Lanka,West Indies,Sir Vivian Richards Stadium,540
New Zealand,Bangladesh,New Zealand,University Oval,541
India,England,India,Maharashtra Cricket Association Stadium,542
New Zealand,Bangladesh,New Zealand,Hagley Oval,543
India,England,England,Maharashtra Cricket Association Stadium,544
New Zealand,Bangladesh,New Zealand,Basin Reserve,545
India,England,India,Maharashtra Cricket Association Stadium,546
South Africa,Pakistan,Pakistan,SuperSport Park,547
South Africa,Pakistan,South Africa,Wanderers Stadium,548
South Africa,Pakistan,Pakistan,SuperSport Park,549
Netherlands,Scotland,Netherlands,Hazelaarweg,550
Netherlands,Scotland,Scotland,Hazelaarweg,551
Bangladesh,Sri Lanka,Bangladesh,Shere Bangla National Stadium,552
Bangladesh,Sri Lanka,Bangladesh,Shere Bangla National Stadium,553
Bangladesh,Sri Lanka,Sri Lanka,Shere Bangla National Stadium,554
Netherlands,Ireland,Netherlands,Sportspark Maarschalkerweerd,555
Netherlands,Ireland,Ireland,Sportspark Maarschalkerweerd,556
Netherlands,Ireland,Netherlands,Sportspark Maarschalkerweerd,557
England,Sri Lanka,England,Riverside Ground,558
England,Sri Lanka,England,Kennington Oval,559
England,Sri Lanka,No result,County Ground (Bristol),560
England,Pakistan,England,Sophia Gardens,561
England,Pakistan,England,Lord's,562
Ireland,South Africa,No result,The Village,563
Ireland,South Africa,Ireland,The Village,564
England,Pakistan,England,Edgbaston,565
Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,566
Ireland,South Africa,South Africa,The Village,567
Sri Lanka,India,India,R Premadasa Stadium,568
Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,569
West Indies,Australia,Australia,Kensington Oval,570
Sri Lanka,India,India,R Premadasa Stadium,571
Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,572
Sri Lanka,India,Sri Lanka,R Premadasa Stadium,573
West Indies,Australia,West Indies,Kensington Oval,574
West Indies,Australia,Australia,Kensington Oval,575
Sri Lanka,South Africa,Sri Lanka,R Premadasa Stadium,576
Sri Lanka,South Africa,South Africa,R Premadasa Stadium,577
Sri Lanka,South Africa,Sri Lanka,R Premadasa Stadium,578
Pakistan,New Zealand,Match abandoned,Rawalpindi Cricket Stadium,579
South Africa,Netherlands,No result,SuperSport Park,580
Sri Lanka,Zimbabwe,Sri Lanka,Pallekele International Cricket Stadium,581
Sri Lanka,Zimbabwe,Zimbabwe,Pallekele International Cricket Stadium,582
South Africa,India,South Africa,Boland Park,583
Afghanistan,Netherlands,Afghanistan,West End Park International Cricket Stadium,584
South Africa,India,South Africa,Boland Park,585
Sri Lanka,Zimbabwe,Sri Lanka,Pallekele International Cricket Stadium,586
Afghanistan,Netherlands,Afghanistan,West End Park International Cricket Stadium,587
South Africa,India,South Africa,Newlands,588
Afghanistan,Netherlands,Afghanistan,West End Park International Cricket Stadium,589
India,West Indies,India,Narendra Modi Stadium,590
India,West Indies,India,Narendra Modi Stadium,591
India,West Indies,India,Narendra Modi Stadium,592
Bangladesh,Afghanistan,Bangladesh,Zahur Ahmed Chowdhury Stadium,593
Bangladesh,Afghanistan,Bangladesh,Zahur Ahmed Chowdhury Stadium,594
Bangladesh,Afghanistan,Afghanistan,Zahur Ahmed Chowdhury Stadium,595
South Africa,Bangladesh,Bangladesh,SuperSport Park,596
South Africa,Bangladesh,South Africa,Wanderers Stadium,597
South Africa,Bangladesh,Bangladesh,SuperSport Park,598
New Zealand,Netherlands,New Zealand,Bay Oval,599
Pakistan,Australia,Australia,Gaddafi Stadium,600
Pakistan,Australia,Pakistan,Gaddafi Stadium,601
Pakistan,Australia,Pakistan,Gaddafi Stadium,602
New Zealand,Netherlands,New Zealand,Seddon Park,603
New Zealand,Netherlands,New Zealand,Seddon Park,604
Netherlands,West Indies,West Indies,VRA Ground,605
Netherlands,West Indies,West Indies,VRA Ground,606
Zimbabwe,Afghanistan,Afghanistan,Harare Sports Club,607
Zimbabwe,Afghanistan,Afghanistan,Harare Sports Club,608
Pakistan,West Indies,Pakistan,Multan Cricket Stadium,609
Zimbabwe,Afghanistan,Afghanistan,Harare Sports Club,610
Pakistan,West Indies,Pakistan,Multan Cricket Stadium,611
Pakistan,West Indies,Pakistan,Multan Cricket Stadium,612
Sri Lanka,Australia,Australia,Pallekele International Cricket Stadium,613
Sri Lanka,Australia,Sri Lanka,Pallekele International Cricket Stadium,614
Netherlands,England,England,VRA Ground,615
Netherlands,England,England,VRA Ground,616
Sri Lanka,Australia,Sri Lanka,R Premadasa Stadium,617
Sri Lanka,Australia,Sri Lanka,R Premadasa Stadium,618
Netherlands,England,England,VRA Ground,619
Sri Lanka,Australia,Australia,R Premadasa Stadium,620
Ireland,New Zealand,New Zealand,The Village,621
West Indies,Bangladesh,Bangladesh,Providence Stadium,622
England,India,India,Kennington Oval,623
Ireland,New Zealand,New Zealand,The Village,624
West Indies,Bangladesh,Bangladesh,Providence Stadium,625
England,India,England,Lord's,626
Ireland,New Zealand,New Zealand,The Village,627
West Indies,Bangladesh,Bangladesh,Providence Stadium,628
England,India,India,Old Trafford,629
England,South Africa,South Africa,Riverside Ground,630
West Indies,India,India,Queen's Park Oval,631
England,South Africa,England,Old Trafford,632
West Indies,India,India,Queen's Park Oval,633
England,South Africa,No result,Headingley,634
West Indies,India,India,Queen's Park Oval,635
Scotland,New Zealand,New Zealand,Grange Cricket Club,636
Zimbabwe,Bangladesh,Zimbabwe,Harare Sports Club,637
Zimbabwe,Bangladesh,Zimbabwe,Harare Sports Club,638
Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,639
Netherlands,Pakistan,Pakistan,Hazelaarweg,640
West Indies,New Zealand,West Indies,Kensington Oval,641
Zimbabwe,India,India,Harare Sports Club,642
Netherlands,Pakistan,Pakistan,Hazelaarweg,643
West Indies,New Zealand,New Zealand,Kensington Oval,644
Zimbabwe,India,India,Harare Sports Club,645
Netherlands,Pakistan,Pakistan,Hazelaarweg,646
West Indies,New Zealand,New Zealand,Kensington Oval,647
Zimbabwe,India,India,Harare Sports Club,648
Australia,Zimbabwe,Australia,Riverway Stadium,649
Australia,Zimbabwe,Australia,Riverway Stadium,650
Australia,Zimbabwe,Zimbabwe,Riverway Stadium,651
Australia,New Zealand,Australia,Cazaly's Stadium,652
Australia,New Zealand,Australia,Cazaly's Stadium,653
Australia,New Zealand,Australia,Cazaly's Stadium,654
India,South Africa,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,655
India,South Africa,India,JSCA International Stadium Complex,656
India,South Africa,India,Arun Jaitley Stadium,657
Australia,England,Australia,Adelaide Oval,658
Australia,England,Australia,Sydney Cricket Ground,659
Australia,England,Australia,Melbourne Cricket Ground,660
New Zealand,India,New Zealand,Eden Park,661
Sri Lanka,Afghanistan,Afghanistan,Pallekele International Cricket Stadium,662
New Zealand,India,No result,Seddon Park,663
Sri Lanka,Afghanistan,No result,Pallekele International Cricket Stadium,664
New Zealand,India,No result,Hagley Oval,665
Sri Lanka,Afghanistan,Sri Lanka,Pallekele International Cricket Stadium,666
Bangladesh,India,Bangladesh,Shere Bangla National Stadium,667
Bangladesh,India,Bangladesh,Shere Bangla National Stadium,668
Bangladesh,India,India,Zahur Ahmed Chowdhury Stadium,669
Pakistan,New Zealand,Pakistan,National Stadium (Karachi),670
India,Sri Lanka,India,Barsapara Cricket Stadium,671
Pakistan,New Zealand,New Zealand,National Stadium (Karachi),672
India,Sri Lanka,India,Eden Gardens,673
India,Sri Lanka,India,Greenfield International Stadium,674
India,New Zealand,India,Rajiv Gandhi International Stadium,675
India,New Zealand,India,Shaheed Veer Narayan Sing International Stadium,676
India,New Zealand,India,Holkar Cricket Stadium,677
South Africa,England,South Africa,Mangaung Oval,678
South Africa,England,South Africa,Mangaung Oval,679
South Africa,England,England,Diamond Oval,680
Bangladesh,England,England,Shere Bangla National Stadium,681
Bangladesh,England,England,Shere Bangla National Stadium,682
Bangladesh,England,Bangladesh,Zahur Ahmed Chowdhury Stadium,683
South Africa,West Indies,Match abandoned,Buffalo Park,684
India,Australia,India,Wankhede Stadium,685
Bangladesh,Ireland,Bangladesh,Sylhet Stadium,686
South Africa,West Indies,West Indies,Buffalo Park,687
India,Australia,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,688
Bangladesh,Ireland,No result,Sylhet Stadium,689
Zimbabwe,Netherlands,Netherlands,Harare Sports Club,690
South Africa,West Indies,South Africa,Senwes Park,691
India,Australia,Australia,MA Chidambaram Stadium,692
Zimbabwe,Netherlands,Zimbabwe,Harare Sports Club,693
Bangladesh,Ireland,Bangladesh,Sylhet Stadium,694
New Zealand,Sri Lanka,New Zealand,Eden Park,695
Zimbabwe,Netherlands,Zimbabwe,Harare Sports Club,696
New Zealand,Sri Lanka,Match abandoned,Hagley Oval,697
South Africa,Netherlands,South Africa,Willowmoore Park,698
New Zealand,Sri Lanka,New Zealand,Seddon Park,699
Pakistan,New Zealand,Pakistan,Rawalpindi Cricket Stadium,700
Pakistan,New Zealand,Pakistan,Rawalpindi Cricket Stadium,701
Pakistan,New Zealand,Pakistan,National Stadium (Karachi),702
Pakistan,New Zealand,Pakistan,National Stadium (Karachi),703
Pakistan,New Zealand,New Zealand,National Stadium (Karachi),704
Ireland,Bangladesh,No result,County Ground (Chelmsford),705
Ireland,Bangladesh,Bangladesh,County Ground (Chelmsford),706
Ireland,Bangladesh,Bangladesh,County Ground (Chelmsford),707
Sri Lanka,Afghanistan,Afghanistan,Mahinda Rajapaksha International Cricket Stadium,708
Sri Lanka,Afghanistan,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,709
Sri Lanka,Afghanistan,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,710
Sri Lanka,United Arab Emirates,Sri Lanka,Queens Sports Club,711
Oman,Sri Lanka,Sri Lanka,Queens Sports Club,712
Nepal,Netherlands,Netherlands,Takashinga Sports Club,713
Ireland,Sri Lanka,Sri Lanka,Queens Sports Club,714
Scotland,Sri Lanka,Sri Lanka,Queens Sports Club,715
Netherlands,Sri Lanka,Sri Lanka,Queens Sports Club,716
Netherlands,Oman,Netherlands,Harare Sports Club,717
Bangladesh,Afghanistan,Afghanistan,Zahur Ahmed Chowdhury Stadium,718
Netherlands,Scotland,Netherlands,Queens Sports Club,719
Sri Lanka,West Indies,Sri Lanka,Harare Sports Club,720
Bangladesh,Afghanistan,Afghanistan,Zahur Ahmed Chowdhury Stadium,721
Netherlands,Sri Lanka,Sri Lanka,Harare Sports Club,722
Bangladesh,Afghanistan,Bangladesh,Zahur Ahmed Chowdhury Stadium,723
West Indies,India,India,Bridgetown,724
West Indies,India,West Indies,Bridgetown,725
West Indies,India,India,Tarouba,726
Afghanistan,Pakistan,Pakistan,Hambantota,727
Afghanistan,Pakistan,Pakistan,Hambantota,728
Afghanistan,Pakistan,Pakistan,Colombo (RPS),729
Pakistan,Nepal,Pakistan,Multan,730
Sri Lanka,Bangladesh,Sri Lanka,Pallekele,731
Afghanistan,Bangladesh,Bangladesh,Lahore,732
India,Nepal,India,Pallekele,733
Afghanistan,Sri Lanka,Sri Lanka,Lahore,734
Pakistan,Bangladesh,Pakistan,Lahore,735
South Africa,Australia,Australia,Bloemfontein,736
England,New Zealand,New Zealand,Cardiff,737
Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),738
South Africa,Australia,Australia,Bloemfontein,739
India,Pakistan,India,Colombo (RPS),740
England,New Zealand,England,Southampton,741
Sri Lanka,India,India,Colombo (RPS),742
South Africa,Australia,South Africa,Potchefstroom,743
England,New Zealand,England,The Oval,744
Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),745
Bangladesh,India,India,Colombo (RPS),746
South Africa,Australia,South Africa,Centurion,747
England,New Zealand,England,Lord's,748
South Africa,Australia,South Africa,Johannesburg,749
Sri Lanka,India,India,Colombo (RPS),750
India,Australia,India,Mohali,751
Bangladesh,New Zealand,New Zealand,Mirpur,752
England,Ireland,England,Nottingham,753
India,Australia,India,Indore,754
Bangladesh,New Zealand,New Zealand,Mirpur,755
India,Australia,Australia,Rajkot,756
England,New Zealand,New Zealand,Ahmedabad,757
Netherlands,Pakistan,Pakistan,Hyderabad,758
Afghanistan,Bangladesh,Bangladesh,Dharamsala,759
South Africa,Sri Lanka,South Africa,Delhi,760
India,Australia,India,Chennai,761
Netherlands,New Zealand,New Zealand,Hyderabad,762
Bangladesh,England,England,Dharamsala,763
Pakistan,Sri Lanka,Pakistan,Hyderabad,764
India,Afghanistan,India,Delhi,765
Australia,South Africa,South Africa,Lucknow,766
Bangladesh,New Zealand,New Zealand,Chennai,767
India,Pakistan,India,Ahmedabad,768
Afghanistan,England,Afghanistan,Delhi,769
Australia,Sri Lanka,Australia,Lucknow,770
Netherlands,South Africa,Netherlands,Dharamsala,771
Afghanistan,New Zealand,New Zealand,Chennai,772
India,Bangladesh,India,Pune,773
Australia,Pakistan,Australia,Bengaluru,774
Netherlands,Sri Lanka,Sri Lanka,Lucknow,775
England,South Africa,South Africa,Wankhede,776
India,New Zealand,India,Dharamsala,777
Afghanistan,Pakistan,Afghanistan,Chennai,778
Bangladesh,South Africa,South Africa,Wankhede,779
Australia,Netherlands,Australia,Delhi,780
England,Sri Lanka,Sri Lanka,Bengaluru,781
Pakistan,South Africa,South Africa,Chennai,782
Australia,New Zealand,Australia,Dharamsala,783
Bangladesh,Netherlands,Netherlands,Eden Gardens,784
India,England,India,Lucknow,785
Afghanistan,Sri Lanka,Afghanistan,Pune,786
Bangladesh,Pakistan,Pakistan,Eden Gardens,787
New Zealand,South Africa,South Africa,Pune,788
India,Sri Lanka,India,Wankhede,789
Afghanistan,Netherlands,Afghanistan,Lucknow,790
New Zealand,Pakistan,Pakistan,Bengaluru,791
Australia,England,Australia,Ahmedabad,792
India,South Africa,India,Eden Gardens,793
Bangladesh,Sri Lanka,Bangladesh,Delhi,794
Afghanistan,Australia,Australia,Wankhede,795
England,Netherlands,England,Pune,796
New Zealand,Sri Lanka,New Zealand,Bengaluru,797
Afghanistan,South Africa,South Africa,Ahmedabad,798
Australia,Bangladesh,Australia,Pune,799
England,Pakistan,England,Eden Gardens,800
India,Netherlands,India,Bengaluru,801
